name,dck1,dck2,dck3,pd1,pd2,pd3,pg1,pg2,pg3,rd1,rd2,rd3,rg1,rg2,rg3,sov1,sov2,sov3,yd1,yd2,yd3,yg1,yg2,yg3
RPL34B,588,285,633,765,440,372,483,470,142,923,466,263,557,472,331,28,171,104,836,745,605,1140,1628,628
RPL35A,1513,1459,1312,129,19,191,63,54,83,46,5,64,97,49,138,556,3631,687,637,501,462,115,150,64
RPL35B,478,303,362,2,0,1,2,1,18,0,4,8,8,11,2,497,2314,515,100,185,76,22,55,10
RPL36A,706,530,451,0,1,1,15,8,1,4,14,0,17,16,3,728,3222,819,251,219,184,38,55,28
RPL37B,400,301,479,1,0,0,2,4,1,0,0,1,0,0,2,422,2321,524,108,162,63,15,28,6
RPL38,359,119,230,143,355,829,97,250,369,205,280,426,138,223,441,24,322,30,722,830,482,316,652,163
RPL40A,877,783,733,170,415,451,280,229,247,249,290,289,383,353,144,1451,8746,2050,612,643,478,741,746,206
RPL40B,1008,638,678,113,2,9,56,27,33,32,8,18,60,26,9,1167,4509,1047,360,291,273,93,117,45
RPL41A,4188,3742,3351,488,469,688,213,271,246,439,134,253,394,290,444,3841,14351,3908,1919,1623,1389,454,420,235
RPL41B,247,187,173,263,786,735,154,710,354,129,537,491,149,693,367,67,189,41,565,530,357,473,1194,457
RPL43A,24,1,16,1,0,0,0,0,0,0,0,0,2,0,0,145,456,63,14,18,6,0,0,0
RPL43B,1108,1076,862,1388,902,1102,951,699,641,636,318,444,856,772,1153,2071,7521,1884,2345,1488,2112,2332,2027,1055
RPL4A,249,222,136,24,0,0,4,0,2,0,0,5,8,2,7,279,1319,140,29,36,30,12,14,4
RPL6A,558,321,404,0,0,1,0,4,0,0,0,0,0,5,1,108,362,53,237,263,124,62,52,20
RPL6B,222,192,262,1,41,1,0,20,0,6,16,0,0,2,1,24,388,43,93,214,65,65,144,40
RPL8A,206,221,101,66,34,135,4,51,26,12,72,0,13,60,43,20,466,64,432,452,277,208,447,157
RPL9A,782,792,540,1,114,37,45,70,52,0,13,51,33,54,116,275,1604,302,421,666,263,170,445,68
RPL9B,87,93,92,13,170,54,83,154,58,41,29,16,97,106,68,204,1017,146,284,253,249,169,315,110
RPN10,2,4,4,0,0,0,0,0,0,0,0,0,0,1,0,4,90,18,0,0,2,2,0,0
RPN11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPN13,886,694,750,2021,5353,6171,1926,3617,2535,2199,3495,2981,1973,3790,3932,146,1249,157,2252,1825,1680,2467,5248,2188
RPN4,199,63,77,158,179,88,391,472,82,134,24,24,396,388,243,528,1743,482,569,660,515,791,1354,487
RPP1A,20,55,52,0,0,1,0,0,1,0,0,0,0,0,1,95,172,81,8,2,4,2,2,0
RPP1B,675,340,579,47,148,110,101,151,35,105,137,62,96,163,157,1258,4647,974,604,572,397,497,739,300
RPP2A,899,799,617,81,70,560,82,143,51,57,89,160,137,111,133,656,4461,831,590,503,480,230,248,95
RPP2B,6,4,10,0,0,0,0,0,0,0,0,1,0,0,0,38,90,14,0,0,0,0,0,0
RPR2,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0
RPS0A,429,565,215,6,1,3,53,31,1,4,4,0,49,48,0,110,636,63,593,665,409,299,456,198
RPS10A,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
RPS10B,462,376,475,0,49,1,3,24,12,2,0,10,4,74,25,442,1478,429,242,245,181,41,80,26
RPS11A,19,12,8,0,0,0,0,0,0,0,0,0,0,0,0,26,119,37,0,4,2,0,0,0
RPS12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
RPS14A,426,432,457,1,4,5,27,6,56,0,0,19,33,11,104,678,3059,1052,277,225,156,53,45,12
RPS14B,798,610,475,4168,4080,11933,4187,3379,4802,3068,2356,4959,4248,3030,8699,1009,5472,1733,2263,1629,2408,4875,4151,3359
RPS16A,224,110,104,0,0,2,2,2,0,8,14,2,4,4,0,323,1298,195,55,81,43,10,26,3
RPS17A,260,69,119,0,1,0,0,0,0,18,0,0,2,0,0,139,380,59,35,34,16,10,2,3
RPS17B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0
RPS18B,2689,2133,1783,4,0,36,60,35,28,9,19,40,50,25,45,1947,11427,2772,764,982,558,205,268,118
RPS19A,653,563,570,0,2,85,1,10,2,0,2,1,0,8,16,579,2609,404,248,288,181,64,66,22
RPS19B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPS1A,283,259,195,41,69,18,111,93,40,27,10,24,84,134,28,44,430,83,585,468,380,449,382,153
RPS1B,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPS20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPS21B,138,158,161,122,186,107,116,159,120,154,198,86,130,187,73,279,1419,269,282,218,192,212,276,53
