exp,total_reads,barcoded,barcoded_dm,matched,matched_dm,blasted,blasted_dm,mixaled,mixaled_dm,final_mean,final_max,barcoded_mean_qual,dm_mean_qual,nmdm_mean_qual,p_barcoded,p_barcoded_dm,matched_in_barcoded,matched_in_barcoded_dm,balsted_in_barcoded,blasted_in_barcoded_dm,mixaled_in_barcoded,mixaled_in_barcoded_dm,ORFs_in_Puddu,ORFs_in_YKOC,final_ORF_collision_count,reads_from_Puddu,reads_from_YKOC
RG1_L00_R2,2262503,1906501,278911,1519697,180276,263279,62233,297371,68729,1001.3531242518554,435718,16.146740664029178,15.296729237145856,14.597200386471927,0.8426512583629724,0.12327541665138124,0.7971131407746442,0.6463567231123907,0.13809539045612879,0.2231285248699406,0.15597736376744623,0.24641910860453692,2350,1166,32841,1441335.6666666667,479861
RG2_L00_R1,1905604,1566213,302290,1259633,220283,207084,55245,241635,63094,846.8003351687814,290441,16.489215968524654,16.69519679915124,15.415157832637245,0.821898463689203,0.15863211874030492,0.8042539552410816,0.728714148665189,0.13221956400566207,0.1827549703926693,0.15427978186874966,0.20872010321214726,2337,1158,30728,1221278.6666666667,412571
RG2_L00_R2,1905604,1617570,228241,1290821,149619,223216,51792,254691,57313,846.8003351687814,290441,16.14929826076135,15.319651628416205,14.605192405500633,0.8488489738686527,0.11977357310333102,0.7980000865495774,0.6555307766790366,0.1379946462904233,0.22691803838924646,0.15745284593557002,0.2511073821092617,2329,1161,30728,1181802.6666666667,405427.3333333333
RG3_L00_R1,3790962,3121338,600234,2451487,435161,416644,107015,489035,122039,1608.571702178597,322247,16.041964468843602,16.865627255589725,15.158840812799928,0.8233630408323798,0.15833289808760942,0.7853961986814629,0.7249855889536414,0.1334825001329558,0.17828880070105993,0.15667479779504814,0.20331903890815914,2311,1159,63146,2628010.6666666665,784784
RG3_L00_R2,3790962,2997613,564250,2224981,325767,436293,137900,514837,155700,1608.571702178597,322247,15.279142732363649,13.848660243083762,13.36879342390974,0.7907262061714151,0.14884084831238087,0.7422509176468076,0.5773451484271156,0.14554680674256484,0.24439521488701815,0.17174898827834012,0.2759415152857776,2400,1222,63146,2292110.6666666665,718219
Sov1_L00_R1,2253119,1864730,346066,1484959,247757,270041,68185,314285,77875,1005.6650706248504,32610,16.644120590232202,16.78255700882488,15.470661588175712,0.8276216214057047,0.15359419542420974,0.7963399527009272,0.7159241300792334,0.14481506706064684,0.1970288904428635,0.16854182643063606,0.22502932966543954,2605,1375,17635,1474078.6666666667,581113.6666666666
Sov1_L00_R2,2253119,1899774,275324,1502961,175256,279222,66008,323521,74057,1005.6650706248504,32610,16.2289299711924,15.296696515006383,14.711157760739175,0.8431751718395699,0.12219683026062982,0.791126207643646,0.6365445802036873,0.14697642982796902,0.23974662579361045,0.17029446660497513,0.2689812729729337,2601,1381,17635,1419579.6666666667,568688.3333333334
Sov2_L00_R1,9839733,8093880,1526900,6334259,1068965,1172921,298423,1374863,343213,4331.708403160163,122674,16.406352278389466,16.89207162053472,15.176253249879931,0.8225711002524154,0.15517697482238593,0.7825985806560019,0.7000884144344751,0.14491455272378637,0.19544370947671752,0.1698645149174438,0.2247776540703386,2746,1552,67444,7144586.666666667,2438924
Sov2_L00_R2,9839733,8370433,1120869,6560569,705685,1219240,258077,1414523,291487,4331.708403160163,122674,16.04457366473988,15.460364910390581,14.555388194318436,0.8506768425525367,0.11391254213910072,0.7837789275656349,0.6295874004901554,0.145660326054817,0.23024724566385546,0.16899042140352835,0.26005447558992173,2749,1574,67444,7007616.666666667,2399890.1666666665
Sov3_L00_R1,2304216,1904275,356300,1497928,251209,284491,71779,333813,82370,1026.4598994493656,34474,16.52581126170225,16.70862334824175,15.407278112633266,0.8264307686432175,0.15462960069715687,0.7866132780191937,0.705049115913556,0.14939596434338528,0.20145663766488914,0.1752966352023736,0.23118158854897558,2598,1347,18288,1490499.6666666667,601096.6666666666
Sov3_L00_R2,2304216,1965678,262126,1541971,166415,296320,61157,344425,69400,1026.4598994493656,34474,16.141488181335635,15.208528030648292,14.598968436033736,0.8530788780218521,0.11375930034337059,0.7844474018633775,0.6348664382777748,0.1507469687303821,0.23331146090048296,0.17521944082398033,0.2647581697351655,2598,1363,18288,1449748.6666666667,591914.6666666666
YD1_L00_R1,2317626,1806725,465184,1457978,339916,249943,89029,285804,100235,1036.6930811587263,35961,16.743115566634813,16.884986700289897,15.547936015954226,0.7795584792369433,0.2007157323916801,0.8069728375928822,0.7307130081860082,0.13834036723906515,0.19138448441906858,0.15818898836292186,0.21547387700350829,2605,1364,20100,1539256.6666666667,589668.5
YD1_L00_R2,2317626,1958397,286465,1564102,189630,282477,63495,322033,70578,1036.6930811587263,35961,16.491628821183465,15.682316412457904,14.984177888573265,0.8450013073722853,0.12360277283737756,0.798664417888712,0.6619656851622362,0.14423888516986086,0.22165011432461207,0.16443703702568988,0.24637564798491962,2599,1375,20100,1495094.6666666667,577645.8333333334
YD2_L00_R1,1705503,1338387,334742,1094930,248749,179785,62388,204372,70074,768.9992817811826,28104,16.849444936658916,16.84941977809479,15.656610501180642,0.7847462009741407,0.19627171573430244,0.8180967089489064,0.7431066313758058,0.13432960720628637,0.18637637344581798,0.15270022796097094,0.20933734039947183,2578,1343,15011,1085041.6666666667,440356.1666666667
YD2_L00_R2,1705503,1462914,194866,1176426,130413,209873,43902,238253,48897,768.9992817811826,28104,16.470025082345646,15.598405056742685,14.849122845117408,0.8577610241670639,0.11425720154112892,0.804166205258819,0.6692445064813769,0.1434622951178265,0.2252932784580173,0.1628619317335127,0.2509262775445691,2578,1342,15011,1048201.6666666667,428313.1666666667
YD3_L00_R1,9216426,1492982,375249,1218736,277981,201736,70019,228696,78684,858.4634905434523,38571,17.363251397409538,19.876698382852325,15.709603591858697,0.16199142704558145,0.04071524037625865,0.816309908625824,0.7407907815876924,0.13512286149464628,0.18659343529229924,0.15318068134779925,0.20968476931317606,2565,1319,19834,1238079.6666666667,492310.3333333333
YD3_L00_R2,9216426,1639408,214337,1318142,143191,235100,49132,265956,54423,858.4634905434523,38571,16.947410563126336,19.162763110940205,14.960172333608703,0.17787893050950554,0.023255977968032294,0.8040353591052379,0.668064776496825,0.14340542439709944,0.22922780481204832,0.16222685261997014,0.2539132301002627,2581,1344,19834,1202695.6666666667,481941.8333333333
YG1_L00_R1,2019291,1650472,333414,1342914,245908,219318,61417,248829,68621,903.098635384247,256566,16.73369862897779,16.91080013287845,15.662686368221205,0.8173522290744623,0.16511438915936336,0.813654518222666,0.7375455139856155,0.13288198769806456,0.1842064220458649,0.15076232738271234,0.20581319320724384,2465,1237,31514,1330184.6666666667,471571
YG1_L00_R2,2019291,1699850,252543,1372189,171009,234312,54737,262460,60317,903.098635384247,256566,16.334735063282896,15.336968035089667,14.712681083059309,0.8418053663389774,0.12506518376994696,0.807241227167103,0.6771480500350435,0.13784275083095568,0.21674328728176984,0.15440185898755773,0.23883853442780043,2466,1230,31514,1284560.6666666667,454159.5
YG2_L00_R1,2158513,1795766,326979,1476364,244655,225063,57200,257072,64327,971.606655494374,269712,16.75067097781255,16.9786366404555,15.561393189518911,0.831945881261776,0.15148345180223607,0.8221360689533046,0.7482284795048,0.12532980354901474,0.17493478174439336,0.14315450899504725,0.19673128855369917,2491,1258,33213,1462381.6666666667,484398
YG2_L00_R2,2158513,1863036,235829,1529877,163265,238954,49327,268402,54443,971.606655494374,269712,16.552854103429436,15.620611040834222,14.891566866942421,0.863110854555891,0.10925530677832378,0.8211741480035812,0.6923024734023381,0.12826053817532243,0.2091642673292937,0.14406699602154763,0.2308579521602517,2470,1238,33213,1434504.6666666667,488263
YG3_L00_R1,1344651,1122813,200767,925867,151040,143724,35654,162010,39674,607.9049557098396,84229,16.833930698116074,16.916982101338643,15.758321120186558,0.8350218755647376,0.1493078873254101,0.8245959033249526,0.7523148724641002,0.12800350548132236,0.17758894639059208,0.14428938745810746,0.19761215737646126,2347,1140,29453,818269.6666666667,332412
YG3_L00_R2,1344651,1164374,145668,951187,99937,157119,31720,174750,34756,607.9049557098396,84229,16.485240965831775,15.564535303788833,14.855706204678505,0.8659302674076768,0.10833145552265978,0.8169084847308511,0.6860600818299146,0.1349386022016981,0.21775544388609716,0.15008064419164288,0.23859735837658236,2343,1143,29453,792486.6666666667,321777.3333333333
